Unnamed: 0,SMILES,best_score
,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@@H](C(=O)O)C[C@@H]2CCC[C@@H]21,-9.8
,[2H]c1c([2H])c([2H])c(CCC(NC(C)C(=O)N2C(C(=O)O)CC3CCCCC32)C(=O)OCC)c([2H])c1[2H],Cannot process molecule: hydrogen atoms couldn't be removed
,[2H]c1c([2H])c([2H])c(CC[C@H](N[C@@H](C)C(=O)N2[C@@H]3CCCC[C@H]3C[C@H]2C(=O)O)C(=O)OCC)c([2H])c1[2H],Cannot process molecule: hydrogen atoms couldn't be removed
,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCC[C@@H]21,-10.4
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,-8.5
,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,-11.1
,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,-9
,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,-8.7
,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@H]12,-10.1
,CN1CC[C@@]2(C)c3cc(OC(=O)N4CCc5ccccc5C4)ccc3N(C)[C@@H]12,-11.4
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,-10.9
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,-8.5
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCNC2N3)cc1,-11
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,-9.1
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,-8.6
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)[C@@H]2N3C)cc1,-10.6
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3C)cc1,-11.3
,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,-11.1
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,-11.8
,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,-11.6
,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,-10.3
,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,-10.5
,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,-8.7
,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,-10.6
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)C2N3C)cc1,-12.5
,CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,-10.6
,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,-12.5
,Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,-11.2
,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,-8.2
,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,-10.5
,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,-10.9
,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,Incorrect number of molecular fragments (2)
,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,-10.6
,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,-10.2
,Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,Incorrect number of molecular fragments (2)
,Cl.O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,Incorrect number of molecular fragments (2)
,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,-10.5
,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,Incorrect number of molecular fragments (2)
,CCCNCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.3
,OC(c1cc(-c2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)c1)C1CCCCN1,-10.9
,CCCN(CCC)CC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.4
,CC(C)(C)NCCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-10.1
,OC(c1ccccn1)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-10.7
,O[C@H](c1cc(-c2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)c1)[C@H]1CCCCN1,-10.7
,OC(c1cc(-c2ccccc2)nc2c1ccc1ccccc12)C1CCCCN1,-12
,CCCCCNC[C@@H](O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.5
,CCCCCNC[C@H](O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.7
,CCCCCCCNC[C@@H](O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.6
,CC(C)NCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.8
,OCCNCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9
,CCCCNCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.6
,OC(CNCCc1ccccc1)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-11.2
,OC(CNC1CCCCC1)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-10.3
,CN(C)CCNCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.1
,C#CCNCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,-9.4
,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,Incorrect number of molecular fragments (2)
,COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,-9
,COc1cc2c(cc1OC)C(=O)/C(=C/C1CCN(Cc3ccccc3)CC1)C2,-11.8
,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl.O,Incorrect number of molecular fragments (3)
,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(CN(C)C)cc1)C2,-9.9
,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,-10.8
,COc1cc2c(cc1OC)C(=O)C(CC1CCCN(Cc3ccccc3)C1)C2,-11
,COc1ccc2c(c1)C/C(=C\C1CCN(Cc3ccccc3)CC1)C2=O,-11.1
,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,-10.6
,COc1cc2c(cc1OC)C(=O)C(CCC1CCN(Cc3ccccc3)CC1)C2,-10.9
,COc1cc2c(cc1OC)C(=O)C(CC1CCN(c3ccccc3)CC1)C2,-10.7
